,Brand,Clothing,Cost,Dress,Skirt,Pants,Shirt,Swimsuit,Accessories,Minimum_Cost,Maximum_Cost,Average_Cost
0,M&S Collection,Wide Fit Patent Block Heel Court Shoes," From₹590.00-₹3,999.00",0,0,0,0,0,1,590.0,3999.0,2294.5
1,M&S Collection,2 Pack High Waisted Leggings," From₹1,299.00-₹1,499.00",0,0,1,0,0,0,1299.0,1499.0,1399.0
2,M&S Collection,Jersey Slim Fit Bootcut Trousers,"₹1,499.00",0,0,1,0,0,0,1499.0,1499.0,1499.0
3,M&S Collection,Scoop Neck Straight Fit Slub Vest Top,₹499.00₹140.00,0,0,0,1,0,0,499.0,140.0,319.5
4,M&S Collection,Mia Slim Cropped Trousers,"₹1,999.00₹590.00",0,0,1,0,0,0,1999.0,590.0,1294.5
5,M&S Collection,Cotton Rich Woven 3/4 Sleeve Kaftan," ₹1,999.00",0,0,0,0,0,1,1999.0,1999.0,1999.0
6,Autograph,Printed Fit & Flare Midi Skirt,"₹5,499.00₹590.00",0,1,0,0,0,0,5499.0,590.0,3044.5
7,M&S Collection,Pure Linen Square Neck Button Detail Blouse,"₹1,999.00",0,0,0,1,0,0,1999.0,1999.0,1999.0
8,M&S Collection,Pure Linen Button Detailed Shirt," From₹590.00-₹1,999.00",0,0,0,1,0,0,590.0,1999.0,1294.5
9,M&S Collection,Mia Slim Cotton Rich 7/8 Trousers,"₹1,999.00₹590.00",0,0,1,0,0,0,1999.0,590.0,1294.5
10,M&S Collection,Linen Blend Midi Shirt Dress,"₹3,999.00₹590.00",1,0,0,1,0,0,3999.0,590.0,2294.5
11,M&S Collection,Birds of Paradise High Leg Bikini Bottoms,"₹1,499.00₹440.00",0,0,1,0,0,0,1499.0,440.0,969.5
12,GOODMOVE,Casual Backpack,"₹2,499.00",0,0,0,0,0,1,2499.0,2499.0,2499.0
13,M&S Collection,Animal Print Scarf,₹699.00,0,0,0,0,0,1,699.0,699.0,699.0
14,M&S Collection,Palm Print Tie Side Hipster Bikini Bottoms,"₹1,299.00₹380.00",0,0,1,0,0,0,1299.0,380.0,839.5
15,M&S Collection,Jersey Straight Leg Trousers,"₹1,499.00",0,0,1,0,0,0,1499.0,1499.0,1499.0
16,M&S Collection,Jersey Slim Fit Flare Trousers,"₹1,499.00",0,0,1,0,0,0,1499.0,1499.0,1499.0
17,M&S Collection,Angular Round Cat Eye Sunglasses,"₹1,299.00",0,0,0,0,0,1,1299.0,1299.0,1299.0
18,M&S Collection,Floral Printed Waisted Mini Dress,"₹2,999.00₹590.00",1,0,0,0,0,0,2999.0,590.0,1794.5
19,M&S Collection,Satin Ruffle Neck Blouse,"₹2,499.00₹590.00",0,0,0,1,0,0,2499.0,590.0,1544.5
20,M&S Collection,Square Sunglasses,"₹1,299.00",0,0,0,0,0,1,1299.0,1299.0,1299.0
21,M&S Collection,Aloha Relaxed Fit Vest Top,₹699.00₹200.00,0,0,0,1,0,0,699.0,200.0,449.5
22,M&S Collection,Palm Print Padded Plunge Bikini Top A-G,"₹1,799.00₹530.00",0,0,0,1,0,0,1799.0,530.0,1164.5
23,M&S Collection,Pure Linen Polka Dot Long Sleeve Shirt,"₹2,499.00",0,0,0,1,0,0,2499.0,2499.0,2499.0
24,M&S Collection,Pure Cotton Regular Fit Vest Top,₹599.00,0,0,0,1,0,0,599.0,599.0,599.0
25,M&S Collection,Cotton Rich Stretch Straight Leg Trousers,"₹1,999.00₹590.00",0,0,1,0,0,0,1999.0,590.0,1294.5
26,M&S Collection,Printed Leaf Print Scarf,₹699.00,0,0,0,0,0,1,699.0,699.0,699.0
27,M&S Collection,Leather Gloves,"₹1,499.00",0,0,0,0,0,1,1499.0,1499.0,1499.0
28,M&S Collection,Tile Ditsy Print Waisted Mini Dress,"₹2,999.00₹590.00",1,0,0,0,0,0,2999.0,590.0,1794.5
29,M&S Collection,Striped V-Neck Fitted Top,"₹1,799.00₹530.00",0,0,0,1,0,0,1799.0,530.0,1164.5
30,M&S Collection,Pure Cotton Tout Va Bien Straight Fit T-Shirt,₹799.00₹230.00,0,0,0,1,0,0,799.0,230.0,514.5
31,M&S Collection,Supersoft Butterfly Crew Neck Jumper,"₹1,999.00",1,0,0,0,0,0,1999.0,1999.0,1999.0
32,M&S Collection,Floral Print Fit & Flare Midi Skirt,"₹4,999.00₹590.00",0,1,0,0,0,0,4999.0,590.0,2794.5
33,Per Una,Floral High Neck Pintuck Midaxi Smock Dress,"₹6,499.00",1,0,0,0,0,0,6499.0,6499.0,6499.0
34,M&S Collection,Rimless Aviator Sunglasses,"₹1,299.00",0,0,0,0,0,1,1299.0,1299.0,1299.0
35,M&S Collection,Scoop Neck Tankini Top,"₹1,499.00₹440.00",0,0,0,1,0,0,1499.0,440.0,969.5
36,M&S Collection,Pure Cotton Striped Regular Fit T-Shirt,₹799.00,0,0,0,1,0,0,799.0,799.0,799.0
37,M&S Collection,Pure Cotton Striped Straight Fit T-Shirt,₹799.00₹230.00,0,0,0,1,0,0,799.0,230.0,514.5
38,M&S Collection,3/4 Sleeve Shirt,"₹1,499.00",0,0,0,1,0,0,1499.0,1499.0,1499.0
39,M&S Collection,Shawl with Modal," From₹590.00-₹1,999.00",0,0,0,0,0,1,590.0,1999.0,1294.5
40,M&S Collection,Printed Scarf,₹699.00,0,0,0,0,0,1,699.0,699.0,699.0
41,M&S Collection,Textured Longline Regular Fit Tunic,"₹1,699.00₹500.00",0,0,0,1,0,0,1699.0,500.0,1099.5
42,M&S Collection,Pure Linen Polka Dot Short Sleeve Top,"₹2,499.00",0,0,0,1,0,0,2499.0,2499.0,2499.0
43,M&S Collection,Ditsy Floral High Waisted Bikini Bottoms,"₹1,499.00₹440.00",0,0,1,0,0,0,1499.0,440.0,969.5
44,M&S Collection,High Waisted Jeggings,"₹2,499.00",0,0,1,0,0,0,2499.0,2499.0,2499.0
45,M&S Collection,Ditsy Floral Waisted Mini Dress,"₹2,499.00₹590.00",1,0,0,0,0,0,2499.0,590.0,1544.5
46,M&S Collection,Pure Cotton Regular Fit T-Shirt,₹799.00,0,0,0,1,0,0,799.0,799.0,799.0
47,M&S Collection,Small Messenger Bag,"₹2,999.00",0,0,0,0,0,1,2999.0,2999.0,2999.0
